id,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
72853,4011,-23.57870737,-46.64577862,sao paulo,AC
431000,21550,-22.85786143,-43.35261269,rio de janeiro,AC
460407,23056,-22.91916431,-43.61109694,rio de janeiro,AC
778187,69940,-9.065928474,-68.66497279,sena madureira,AC
778188,69918,-9.926145,-67.83511725,rio branco,AC
778189,69960,-8.166416147,-70.35406676,feijo,AC
778190,69902,-9.940536399,-67.82281797,rio branco,AC
778191,69960,-8.168060123,-70.35768374,feijo,AC
778192,69909,-10.03358797,-67.79465809,rio branco,AC
778193,69925,-10.15693119,-67.72877529,senador guiomard,AC
778194,69905,-9.971626684,-67.80339809,rio branco,AC
778195,69900,-9.974562383,-67.8096558,rio branco,AC
778196,69915,-9.975107836,-67.83786946,rio branco,AC
778197,69915,-9.972530319,-67.83193574,rio branco,AC
778198,69980,-7.631107724,-72.66670555,cruzeiro do sul,AC
778199,69900,-9.965697785,-67.78702835,rio branco,AC
778200,69980,-7.621789362,-72.67491643,cruzeiro do sul,AC
778201,69918,-9.962557931,-67.82462904,rio branco,AC
778202,69915,-9.969124863,-67.84933969,rio branco,AC
778203,69900,-9.96119277,-67.81266877,rio branco,AC
778204,69911,-10.008036,-67.7778255,rio branco,AC
778205,69919,-9.9513175,-67.85151077,rio branco,AC
778206,69911,-9.9413505,-67.82256225,rio branco,AC
778207,69900,-9.974997819,-67.80940552,rio branco,AC
778208,69918,-9.965736147,-67.83294387,rio branco,AC
778209,69900,-9.974363476,-67.80326679,rio branco,AC
778210,69911,-9.987729548,-67.82552907,rio branco,AC
778211,69918,-9.957720756,-67.82306337,rio branco,AC
778212,69901,-9.957252211,-67.78634878,rio branco,AC
778213,69919,-9.954442394,-67.85968287,rio branco,AC
778214,69900,-9.975119774,-67.80852513,rio branco,AC
778215,69980,-7.623543321,-72.68845641,cruzeiro do sul,AC
778216,69900,-9.949839306,-67.88471935,rio branco,AC
778217,69915,-9.972864438,-67.86042138,rio branco,AC
778218,69930,-10.64484826,-68.50800699,xapuri,AC
778219,69940,-9.065111028,-68.67266369,sena madureira,AC
