id,review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
52373,97ca439bc427b48bc1cd7177abe71365,00010242fe8c5a6d1ba2dd792cb16214,5,,"Perfeito, produto entregue antes do combinado.",21/09/2017 00:00,22/09/2017 10:57
28026,7b07bacd811c4117b742569b04ce3580,00018f77f2f0320c557190d7a144bdd3,4,,,13/05/2017 00:00,15/05/2017 11:34
4245,0c5b33dea94867d1ac402749e5438e8b,000229ec398224ef6ca0657da4fc703e,5,,Chegou antes do prazo previsto e o produto surpreendeu pela qualidade. Muito satisfatÃ_rio.,23/01/2018 00:00,23/01/2018 16:06
39134,f4028d019cb58564807486a6aaf33817,00024acbcdf0a6daa1e931b038114c75,4,,,15/08/2018 00:00,15/08/2018 16:39
56107,940144190dcba6351888cafa43f3a3a5,00042b26cf59d7ce69dfabb4e55b4fd9,5,,Gostei pois veio no prazo determinado .,02/03/2017 00:00,03/03/2017 10:54
22901,5e4e50af3b7960b7a10d86ec869509e8,00048cc3ae777c65dbb7d2a0634bc1ea,4,,,23/05/2017 00:00,24/05/2017 19:00
93918,0381de7572d99d75230ce91207807265,00054e8431b9d7675808bcb819fb4a32,4,,,19/12/2017 00:00,29/12/2017 02:40
90760,f0733ebeb51b637dfdc953983c867b89,000576fe39319847cbb9d288c5617fa6,5,,,10/07/2018 00:00,11/07/2018 20:14
68350,67b1ab8f3ec19d5a90f153f21757d3a1,0005a1a1728c9d785b8e2b08b904576c,1,,"Na descriÃ§Ã£o do produto quando fui efetuar a compra, estava detalhado os pentes de disfarce.
Quando recebe o produto verifiquei e notei que nÃ£o havia os pentes 0.5 e 1.5",30/03/2018 00:00,02/04/2018 00:52
36253,5c0b7e34ed85ec659bb064902d878e7a,0005f50442cb953dcd1d21e1fb923495,4,,,05/07/2018 00:00,05/07/2018 23:17
24923,7e92c32ae297ef950ee69781d9f1760c,00061f2a7bc09da83e415a52dc8a4af1,5,,"A caixa do produto veio com uma pequena avariaÃ§Ã£o, mas de resto veio perfeito...",30/03/2018 00:00,30/03/2018 04:04
94463,5595c192e3c1566ab4e7a2748b8ed297,00063b381e2406b52ad429470734ebd5,5,,"Fiquei um pouco triste, achei que a cor do coraÃ§Ã£o seria verde, conforme a foto..... Mas depois que recebi o coraÃ§Ã£o cor de rosa que fui ver que sÃ£o imagens ilustrativas...... _Ÿ˜¥",08/08/2018 00:00,09/08/2018 00:12
57483,6322c405c0f34bf3ad870fd1a6b1fced,0006ec9db01a64e59a68b2c340bf65a7,5,Boa,Excelente serviÃ§o de compras on line.,31/07/2018 00:00,01/08/2018 23:05
15367,5505c1cce299b1e0b3f8e4b428417362,0008288aa423d2a3f00fcb17cd7d8719,5,,,27/02/2018 00:00,02/03/2018 10:20
66404,236ccf78a5c4c350c18fdc1ae12b0187,0009792311464db532ff765bf7b182ae,5,,,23/08/2018 00:00,23/08/2018 16:11
27497,787a452b54147f8f64737b1e040234af,0009c9a17f916a706d71784483a5d643,4,,,01/05/2018 00:00,01/05/2018 21:14
96481,00800678dcf28b0ea0caef2147b6945d,000aed2e25dbad2f9ddb70584c5a2ded,1,produto nÃ£o entregue,"Mudo minha opiniÃ£o assim que receber o produto.
Consta no site que o produto foi entregue, mas nÃ£o recebi.",19/05/2018 00:00,22/05/2018 10:52
19789,51b9186876d4708a91786f8517fe7106,000c3e6612759851cc3cbb4b83257986,5,,Recebi td certinho antes do prazo! ,20/08/2017 00:00,20/08/2017 19:56
27407,3b9a423bdbe8734ddfeb09bced16e5d9,000e562887b1f2006d75e0be9558292e,3,,Bom produto,13/03/2018 00:00,13/03/2018 23:03
58601,06f45fcd8b9b54c30b0de110eb849228,000e63d38ae8c00bbcb5a30573b99628,3,,5,28/03/2018 00:00,28/03/2018 18:32
81699,a5fb93d6a9e707bd84c07da74e8d79fd,000e906b789b55f64edcb1f84030f90d,3,,,09/12/2017 00:00,11/12/2017 09:55
69545,775038877f3c507777081ff685e14a60,000f25f4d72195062c040b12dce9a18a,4,,,23/03/2018 00:00,24/03/2018 04:17
62821,fa2d523cc60173d4889520763a2e4851,001021efaa8636c29475e7734483457d,4,,super recomendo,09/03/2018 00:00,13/03/2018 14:04
70232,f55e59915a07435c3615737a15470d96,0010b2e5201cc5f1ae7e9c6cc8f5bd00,5,,,24/09/2017 00:00,24/09/2017 18:35
50160,d5d01007883616401b65674911160c82,0010dedd556712d7bb69a19cb7bbd37a,1,,nao recebi o produto,08/11/2017 00:00,08/11/2017 10:51
94499,e79b1300216401c0212ab9b5a66372ff,00119ff934e539cf26f92b9ef0cdfed8,5,,"Recebi o long 10 dias apÃ_s a compra, e chegou em perfeito estado. A ilustraÃ§Ã£o Ã© idÃªntica Ã  imagem do site. O material Ã© de Ã_tima qualidade e o tamanho Ã© perfeito. Recomendo ! ",17/08/2017 00:00,18/08/2017 00:24
80431,04a15fdeccc0572ca4f52b16cd50408a,0011d82c4b53e22e84023405fb467e57,4,,,27/01/2018 00:00,28/01/2018 13:18
17809,08af1a16cca5edd546f4a10b6e87af2e,00125cb692d04887809806618a2a145f,5,,"produto como descrito, satisfeitÃ_ssima com a compra.",08/04/2017 00:00,13/04/2017 16:42
10364,4ff9a24999699f7104ed23fec2563351,00130c0eee84a3d909e75bc08c5c3ca1,5,Super Recomendo,"Produto entregue adequadamente e muito rÃ¡pido, gostei muito do serviÃ§o.",14/06/2018 00:00,14/06/2018 19:50
6802,b5c9aa83935388c89bd9b1b2ce6d1439,0013503b13da1eac686219390b7d641b,5,,,21/12/2017 00:00,24/12/2017 05:03
11490,fe1711409007a1243f6fa3a1118d416c,00137e170939bba5a3134e2386413108,4,,,12/12/2017 00:00,13/12/2017 11:08
43542,174a50ecc3181301a3585ff14ab5f98b,001427c0ec99cf8af737bd88e92fd444,2,,,26/04/2018 00:00,29/04/2018 11:07
97668,29ae131f1e1b52d81fb3ff6427ceb007,00143d0f86d6fbd9f9b38ab440ac16f5,1,,"COMPREI O PRODUTO: MACA PERUANA com VITAMINA C e ZINCO.
MAS, ME ENVIARAM: MACA PERUANA Premium.",28/10/2017 00:00,28/10/2017 23:20
31627,81c4070474d420a77a2254b8a5473f6a,0014ae671de39511f7575066200733b7,5,,,08/06/2017 00:00,09/06/2017 14:25
14372,282ec15daab81bd9afe2452fa0ee7b39,0015ebb40fb17286bea51d4607c4733c,5,,,02/02/2018 00:00,03/02/2018 09:38
95673,28e20f3ef22e8795ea14e65f54e087a3,00169e31ef4b29deaae414f9a5e95929,1,,Entrega muito demorada. Ainda nÃ£o recebi o produto,24/01/2018 00:00,24/01/2018 23:36
553,f11d548dc1a7c713bff0b6d2ef0dff7c,0016dfedd97fc2950e388d2971d718c7,5,,,23/05/2017 00:00,24/05/2017 20:08
9366,f7bbac6b6901d7636435ea406a856e34,0017afd5076e074a48f1f1a4c7bac9c5,1,,,21/05/2017 00:00,21/05/2017 11:30
6918,164fba09ca80765e400c72749b58c267,001862358bf858722e1e2ae000cfed8b,5,,"Adorei, compro novamente!",16/02/2018 00:00,20/02/2018 14:11
76943,1e8067a9f38deb9426d4278fa2d213d0,0019c29108428acffd089c36103c9440,5,,Produto real.,17/03/2018 00:00,20/03/2018 16:33
22659,68b49cfcd9420c6ad09af97ea8268e7c,001ab0a7578dd66cd4b0a71f5b6e1e41,4,,Loja rÃ¡pida na entrega. SÃ_ houve um incidente pelo fato de nÃ£o vim o produto escolhido e sim um similar.,18/01/2018 00:00,25/01/2018 03:07
66680,95ae5c0c6595c9f75ddc037cca0596ae,001ac194d4a326a6fa99b581e9a3d963,5,,Entregaram do prazo ,13/07/2018 00:00,13/07/2018 21:02
73813,ed0405017b21b89fe55282aca123eeec,001b76dd48a5b1eee3e87778daa40df8,5,,Tudo ok e dentro do prazo,07/04/2018 00:00,08/04/2018 01:01
14752,bef8f895661652ee0f5dbc2626864df3,001c85b5f68d2be0cb0797afc9e8ce9a,2,,,16/12/2017 00:00,20/12/2017 21:03
80801,51ebb8fede4fbe6126f9f85ebdd23166,001d8f0e34a38c37f7dba2a37d4eba8b,1,,Entrega prometida 24/05/17. Dia 26/05/17 nÃ£o havia recebido ainda.,26/05/2017 00:00,26/05/2017 20:19
86014,df246bd48fbc0a0c9a7d4979c9192eec,001daeb0eddc45b999bad0801ad9d273,5,,"Produto aparentemente Ã_timo, chegou muito antes do prazo estipulado pelo site. Pena que comprei o produto errado ""era para ser bomba submersa com filtro"". Mas, jÃ¡ estou resolvendo tudo quanto a troca.",09/06/2017 00:00,10/06/2017 02:19
68786,87d38823c8e926b57ec61e64f5466cfd,001dbc16dc51075e987543d23a0507c7,5,,,14/02/2017 00:00,20/02/2017 17:07
50340,963e12d9a7c84e15c199bb5f062e599f,001e7ba991be1b19605ca0316e7130f9,5,,,29/03/2017 00:00,31/03/2017 14:40
