product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
00ab8a8b9fe219511dc3f178c6d79698,,,,,2100,50,30,30
00ae7076313576f94d9107599d79a978,esporte_lazer,38,440,1,600,22,33,16
00b264091d1c8df03976c3f3b176b35c,automotivo,59,351,2,250,16,16,16
00b4155166f994ba9da3cf001eb80505,utilidades_domesticas,53,786,4,1125,28,15,23
00b782074a5ec523bf31951b4935d572,telefonia,57,319,2,250,16,5,11
00ba6d766f0b1d7b78a5ce3e1e033263,utilidades_domesticas,52,418,1,7850,28,62,28
00baba5b58e274d0332a0c8a0a66f877,perfumaria,27,406,4,200,18,7,12
00bb62ea3729537a687c3fddcd123662,automotivo,36,1241,3,12100,60,60,20
00bc6e6d4ceb98ec7ed058b0a243a8b9,artigos_de_natal,34,249,1,200,16,11,11
00be617b58175bf207fd35910d5097a4,cama_mesa_banho,52,396,1,900,45,15,35
00c1e6d55fe174bfbb179257255e49bb,cool_stuff,56,1027,1,187,17,13,14
00c3e35b00dd00ab864d4a94c1b97e66,perfumaria,58,596,4,512,30,12,18
00c407e056c74eb8040a1233ca6da16f,papelaria,56,183,2,650,35,15,28
00c744ca2f3b0e76ce227b146095d3f9,brinquedos,41,569,1,350,17,15,17
00c794371af4dc7c5b6ba3ef913556bb,telefonia_fixa,63,326,4,150,16,4,13
00cc15e0cef551848c797ab75ba904b1,relogios_presentes,47,596,1,300,19,10,15
00cf06147ed4880ec5fbba2adbb20e1d,livros_interesse_geral,30,253,1,350,24,5,17
00d2add85b1f5aba6bb3d5d977314e25,casa_construcao,60,935,1,9050,56,26,28
00d2fa6f2a87633084c8e0400d41a65a,cama_mesa_banho,41,312,1,18550,54,35,45
00d363b8c14bb9a6c73febc4c42acf47,consoles_games,49,998,2,200,16,16,11
00d51a45854ebce28acda79f414388ee,utilidades_domesticas,52,857,1,225,16,4,14
00d62b338366db4c4aec8547ea8f928e,,,,,400,24,4,15
00d62d0388b0786d730a1aaed91c0ae0,moveis_decoracao,53,646,1,300,16,30,20
00d93a09990b319a7c946ed7a8c67656,moveis_decoracao,54,197,8,3400,42,16,26
00dc8a1b2de45a7fca5921544e5f351d,informatica_acessorios,42,1202,6,1550,42,17,17
00ddaddbe03b7103d80daee96892363f,telefonia,59,600,1,200,19,4,11
00de606a5dda99c2499f94ef18282977,automotivo,59,642,5,1650,60,8,33
